customerReviewAverage,customerReviewCount,manufacturer,name,onlineAvailability,regularPrice,salePrice,upc
4.5,703.0,Hisense,"Hisense - 43"" Class - LED - H7 Series - 2160p - Smart - 4K UHD TV with HDR",True,349.99,297.99,888143001241
4.6,1584.0,Hisense,"Hisense - 50"" Class - LED - H8 Series - 2160p - Smart - 4K UHD TV with HDR",False,469.99,399.99,888143001234
4.6,1065.0,Hisense,"Hisense - 55"" Class - LED - H8 Series - 2160p - Smart - 4K UHD TV with HDR",True,449.99,427.99,888143001432
4.6,464.0,Hisense,"Hisense - 65"" Class - LED - H8 Series - 2160p - Smart - 4K UHD TV with HDR",True,799.99,695.99,888143002286
4.6,475.0,Hisense,"Hisense - 50"" Class - LED - H6 Series - 2160p - Smart - 4K UHD TV with HDR",False,499.99,299.99,819130020051
4.3,313.0,Hisense,"Hisense - 60"" Class - LED - H6 Series - 2160p - Smart - 4K UHD TV with HDR",True,499.99,499.99,888143003276
4.6,156.0,Hisense,"Hisense - 50"" Class (50"" Diag.) - LED - 1080p - Smart - HDTV Roku TV",False,429.99,257.99,888143002583
4.5,49.0,Hisense,"Hisense - 65"" Class - LED - H9 Series - 2160p - Smart - 4K UHD TV with HDR",True,1299.99,896.99,888143002347
4.7,69.0,Hisense,"Hisense - 55"" Class - LED - H9 Series - 2160p - Smart - 4K UHD TV with HDR",True,799.99,799.99,888143002446
4.5,52.0,Hisense,"Hisense - 32"" Class - LED - H4 Series - 720p - Smart - HDTV Roku TV",True,179.99,139.99,819130022505
4.5,26.0,Hisense,"Hisense - 43"" Class - LED - R7 Series - 2160p - Smart - 4K UHD TV with HDR Roku TV",True,299.99,269.99,819130022185
4.5,31.0,Hisense,"Hisense - 50"" Class - LED - R7 Series - 2160p - Smart - 4K UHD TV with HDR Roku TV",True,349.99,329.99,819130022178
3.8,34.0,Hisense,"Hisense - 55"" Class - LED - H8E Series - 2160p - Smart - 4K UHD TV with HDR",True,469.99,399.99,888143003818
3.4,22.0,Hisense,"Hisense - 55"" Class - LED - H9 Plus Series - 2160p - Smart - 4K UHD TV with HDR",True,699.99,599.99,888143003443
4.5,6.0,Hisense,"Hisense - 65"" Class - LED - H8E Series - 2160p - Smart - 4K UHD TV with HDR",True,749.99,699.99,888143003832
4.6,8.0,Hisense,"Hisense - 65"" Class - LED - H9 Plus Series - 2160p - Smart - 4K UHD TV with HDR",True,1199.99,899.99,888143003436
4.4,17.0,Hisense,"Hisense - 55"" Class - LED - H6 Series - 2160p - Smart - 4K UHD TV with HDR",True,449.99,369.99,819130023045
4.5,2303.0,Insignia™,"Insignia™ - 50"" Class - LED - 1080p - HDTV",False,329.99,230.99,600603198410
4.5,9119.0,Insignia™,"Insignia™ - 32"" Class - LED - 720p - Smart - Roku TV",True,179.99,149.99,600603198120
4.5,8293.0,Insignia™,"Insignia™ - 39"" Class - LED - 1080p - Smart - HDTV Roku TV",True,279.99,229.99,600603198168
4.6,1369.0,Insignia™,"Insignia™ - 43"" Class - LED - 2160p - Smart - 4K UHD TV with HDR Roku TV",True,349.99,279.99,600603209710
4.7,1554.0,Insignia™,"Insignia™ - 55"" Class - LED - 2160p - Smart - 4K UHD TV with HDR Roku TV",True,429.99,399.99,600603209734
4.6,1693.0,Insignia™,"Insignia™ - 50"" Class - LED - 2160p - Smart - 4K UHD TV with HDR Roku TV",True,379.99,349.99,600603209727
4.6,571.0,Insignia™,"Insignia™ - 55"" Class (54.6"" Diag.) - LED - 1080p - HDTV",True,329.99,300.99,600603210396
4.5,641.0,Insignia™,"Insignia™ - 24"" Class - LED - 720p - Smart - HDTV Roku TV",True,149.99,119.99,600603212406
4.6,1830.0,Insignia™,"Insignia™ - 32"" Class - LED - 720p - HDTV",True,149.99,149.99,600603214585
4.8,137.0,Insignia™,"Insignia™ - 65"" Class - LED - 2160p - Smart - 4K UHD TV with HDR Roku TV",True,699.99,650.99,600603217623
4.6,1322.0,Insignia™,"Insignia™ - 43"" Class - LED - 1080p - HDTV",True,279.99,229.99,600603218361
4.5,279.0,Insignia™,"Insignia™ - 49"" Class (48.5"" Diag.) - LED - 1080p - HDTV",False,299.99,200.99,600603218385
4.6,364.0,Insignia™,"Insignia™ - 49"" Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV Roku TV",False,329.99,229.99,600603219924
4.5,142.0,Insignia™,"Insignia™ - 39"" Class - LED - 720p - HDTV",True,199.99,149.99,600603229411
4.7,174.0,Insignia™,"Insignia™ - 24"" Class - LED - 720p - HDTV",False,129.99,129.99,600603229404
4.5,156.0,Insignia™,"Insignia™ - 19"" Class - LED - 720p - HDTV",True,79.99,69.99,600603229398
4.7,91.0,Insignia™,"Insignia™ - 50"" Class - LED - 1080p - HDTV",True,299.99,249.99,600603230394
4.7,20.0,Insignia™,"Insignia™ - 55"" Class - LED - 1080p - HDTV",True,349.99,329.99,600603230158
4.5,4148.0,Insignia™,"Insignia™ - 19"" Class (18.5"" Diag.) - LED - 720p - HDTV",False,79.99,69.99,600603190537
3.3,6.0,LG,"LG - 65"" Class - OLED - W7 Series - 2160p - Smart - 4K UHD TV with HDR",False,6999.99,6999.99,719192610989
4.6,734.0,LG,"LG - 24"" Class - LED - 720p - Smart - HDTV",True,169.99,169.99,719192609013
4.6,526.0,LG,"LG - 24"" Class - LED - 720p - HDTV",True,119.99,99.99,719192609211
4.6,546.0,LG,"LG - 55"" Class (54.6"" Diag.) - LED - 1080p - Smart - HDTV",True,449.99,418.99,719192610057
4.7,781.0,LG,"LG - 65"" Class - LED - UJ6300 Series - 2160p - Smart - 4K UHD TV with HDR",True,849.99,849.99,719192609877
4.5,207.0,LG,"LG - 55"" Class - LED - SJ8500 Series - 2160p - Smart - 4K UHD TV with HDR",True,1099.99,1099.99,719192609679
4.7,1163.0,LG,"LG - 55"" Class - LED - UJ6300 Series - 2160p - Smart - 4K UHD TV with HDR",True,549.99,549.99,719192609891
4.6,888.0,LG,"LG - 49"" Class - LED - LJ550M Series - 1080p - Smart - HDTV",True,349.99,329.99,719192610064
4.6,1157.0,LG,"LG - 43"" Class - LED - LJ550M Series - 1080p - Smart - HDTV",True,349.99,349.99,719192610071
4.5,422.0,LG,"LG - 49"" Class - LED - 1080p - HDTV",True,329.99,300.99,719192614673
4.5,436.0,LG,"LG - 43"" Class - LED - 1080p - HDTV",False,279.99,250.99,719192613416
4.7,440.0,LG,"LG - 32"" Class - LED - LJ550M Series - 720p - Smart - HDTV",False,219.99,179.99,719192613423
4.7,346.0,LG,"LG - 55"" Class - LED - UJ7700 Series - 2160p - Smart - 4K UHD TV with HDR",True,799.99,799.99,719192611481
4.7,34.0,LG,"LG - 55"" Class - LED - UH615A Series - 2160p - Smart - 4K UHD TV with HDR",True,799.99,799.99,719192605732
4.6,2327.0,LG,"LG - 49"" Class - LED - UJ6300 Series - 2160p - Smart - 4K UHD TV with HDR",False,449.99,449.99,719192609907
4.7,154.0,LG,"LG - 75"" Class - LED - UJ6470 Series - 2160p - Smart - 4K UHD TV with HDR",True,1799.99,1799.99,719192614581
4.6,394.0,LG,"LG - 28"" Class - LED - 720p - HDTV",True,169.99,169.99,719192614826
4.6,769.0,LG,"LG - 60"" Class - LED - UJ6300 Series - 2160p - Smart - 4K UHD TV with HDR",True,699.99,699.99,719192609884
4.8,1061.0,LG,"LG - 65"" Class - OLED - B7A Series - 2160p - Smart - 4K UHD TV with HDR",True,2599.99,2499.99,719192614680
4.9,21.0,LG,"LG - 32"" Class - LED - LJ550B Series - 720p - Smart - HDTV",False,219.99,179.99,719192608573
4.8,666.0,LG,"LG - 70"" Class - LED - UJ6570 Series - 2160p - Smart - 4K UHD TV with HDR",True,1399.99,1105.99,719192609792
4.7,170.0,LG,"LG - 65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",True,1099.99,1099.99,719192615748
4.7,669.0,LG,"LG - 55"" Class - LED - UJ6200 Series - 2160p - Smart - 4K UHD TV with HDR",True,699.99,699.99,719192614475
4.7,2010.0,LG,"LG - 43"" Class - LED - UJ6200 Series - 2160p - Smart - 4K UHD TV with HDR",False,349.99,349.99,719192615687
4.6,493.0,LG,"LG - 49"" Class - LED - UJ6200 Series - 2160p - Smart - 4K UHD TV with HDR",False,449.99,449.99,719192615533
4.8,57.0,LG,"LG - 65"" Class - LED - SK9000PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,1999.99,1899.99,719192621169
4.9,44.0,LG,"LG - 55"" Class - LED - SK9000PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,1299.99,1299.99,719192621220
4.6,41.0,LG,"LG - 55"" Class - OLED - C8PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,2499.99,2499.99,719192621015
4.8,81.0,LG,"LG - 65"" Class - OLED - C8PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,3499.99,3499.99,719192620971
4.5,50.0,LG,"LG - 55"" Class - LED - SK8000PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,999.99,849.99,719192621237
5.0,9.0,LG,"LG - 49"" Class - LED - SK8000PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,899.99,699.99,719192622272
4.0,4.0,LG,"LG - 55"" Class - OLED - E8PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,2999.99,2999.99,719192621008
5.0,1.0,LG,"LG - 77"" Class - OLED - C8PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,8999.99,8999.99,719192620957
4.3,27.0,LG,"LG - 75"" Class - LED - SK8070PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,2499.99,2299.99,719192621077
4.8,39.0,LG,"LG - 70"" Class - LED - UK6570PUB Series - 2160p - Smart - 4K UHD TV with HDR",True,1299.99,1099.99,719192620339
4.6,87.0,LG,"LG - 65"" Class - LED - SK8000PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,1599.99,1299.99,719192621176
4.8,13.0,LG,"LG - 65"" Class - OLED - E8PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,3999.99,3999.99,719192620964
4.4,15.0,LG,"LG - 32"" Class - LED - 720p - Smart - HDTV",True,219.99,199.99,719192622289
4.6,116.0,LG,"LG - 43"" Class - LED - UK6300 Series - 2160p - Smart - 4K UHD TV with HDR",True,399.99,319.99,719192621299
4.7,18.0,LG,"LG - 55"" Class - LED - UK6300 Series - 2160p - Smart - 4K UHD TV with HDR",True,599.99,499.99,719192621213
4.5,143.0,LG,"LG - 50"" Class - LED - UK6300BUB Series - 2160p - Smart - 4K UHD TV with HDR",False,549.99,399.99,719192621268
4.3,16.0,LG,"LG - 65"" Class - LED - UK6300 Series - 2160p - Smart - 4K UHD TV with HDR",True,999.99,799.99,719192621145
4.7,17.0,LG,"LG - 75"" Class - LED - UK6570PUB Series - 2160p - Smart - 4K UHD TV with HDR",True,1799.99,1799.99,719192622708
4.6,43.0,LG,"LG - 50"" Class - LED - UK6300PUE Series - 2160p - Smart - 4K UHD TV with HDR",True,499.99,399.99,719192621251
,,LG,"LG - 43"" Class - LED - LK5400BUA Series - 1080p - Smart - HDTV",False,299.99,299.99,719192620612
4.7,3.0,LG,"LG - 65"" Class - OLED - B8PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,3299.99,2999.99,719192620995
5.0,5.0,LG,"LG - 55"" Class - OLED - B8PUA Series - 2160p - Smart - 4K UHD TV with HDR",True,2299.99,1999.99,719192621039
,,LG,"LG - 65"" Class - OLED - W8 Series - 2160p - Smart - 4K UHD TV with HDR",False,6999.99,6999.99,719192622258
4.7,7082.0,Samsung,"Samsung - 32"" Class - LED - 1080p - Smart - HDTV",True,299.99,279.99,887276087825
4.8,913.0,Samsung,"Samsung - 55"" Class - LED - Curved - MU8500 Series - 2160p - Smart - 4K UHD TV with HDR",True,1199.99,1199.99,887276201313
4.7,2013.0,Samsung,"Samsung - 55"" Class - LED - MU6300 Series - 2160p - Smart - 4K Ultra HD TV with HDR",True,699.99,699.99,887276209692
4.7,875.0,Samsung,"Samsung - 65"" Class - LED - MU6300 Series - 2160p - Smart - 4K Ultra HD TV with HDR",True,1099.99,1099.99,887276209715
4.7,2139.0,Samsung,"Samsung - 55"" Class - LED - MU8000 Series - 2160p - Smart - 4K UHD TV with HDR",True,1099.99,1099.99,887276200620
4.7,1952.0,Samsung,"Samsung - 50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",True,549.99,549.99,887276209647
5.0,1.0,Samsung,"Samsung - 88"" Class - LED - Q9F Series - 2160p - Smart - 4K UHD TV with HDR",True,19999.99,19999.99,887276204932
4.7,1464.0,Samsung,"Samsung - 49"" Class - LED - MU7000 Series - 2160p - Smart - 4K UHD TV with HDR",False,549.99,549.99,887276202860
4.7,1119.0,Samsung,"Samsung - 49"" Class - LED - MU8000 Series - 2160p - Smart - 4K UHD TV with HDR",True,899.99,899.99,887276200583
4.7,358.0,Samsung,"Samsung - 49"" Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV",False,479.99,479.99,887276172408
4.8,253.0,Samsung,"Samsung - 55"" Class - LED - MU9000 Series - 2160p - Smart - 4K UHD TV with HDR",True,1499.99,1499.99,887276201504
4.7,963.0,Samsung,"Samsung - 55"" Class - LED - MU7000 Series - 2160p - Smart - 4K UHD TV with HDR",True,899.99,899.99,887276202839
4.7,658.0,Samsung,"Samsung - 55"" Class - LED - Curved - MU6500 Series - 2160p - Smart - 4K Ultra HD TV with HDR",True,799.99,799.99,887276209654
4.8,1172.0,Samsung,"Samsung - 65"" Class - LED - Curved - MU8500 Series - 2160p - Smart - 4K UHD TV with HDR",True,1499.99,1499.99,887276201351
4.7,4273.0,Samsung,"Samsung - 65"" Class - LED - MU8000 Series - 2160p - Smart - 4K UHD TV with HDR",True,1299.99,1299.99,887276200644
4.7,756.0,Samsung,"Samsung - 65"" Class - LED - MU7000 Series - 2160p - Smart - 4K UHD TV with HDR",True,1299.99,1299.99,887276202877
